spoke_index,system,system_display,label,label_display,pearson_r,score_pvalue,score_pvalue_fdr,n_seeds,n_subjects,description
12,frailty,Frailty,hand_grip_left,L Hand Grip Strength,0.789941052834471,0.0,0.0,15,3327,"Maximal left hand grip strength measured in kilograms using a hand dynamometer, indicating muscular strength and overall physical function"
13,frailty,Frailty,hand_grip_right,R Hand Grip Strength,0.7888867154303719,0.0,0.0,15,3328,"Maximal right hand grip strength measured in kilograms using a hand dynamometer, indicating muscular strength and overall physical function"
14,gait,Gait Features,Cadence: median - TM3,Cadence: Median,0.8684553339734847,0.0,0.0,15,2620,Median cadence measured in steps per minute during treadmill walking at 3 km/h. Cadence is the number of steps taken per unit time and is a fundamental temporal gait parameter.
15,gait,Gait Features,LStep_length_m: median - TM3,L Step Length (m): Median,0.8269534428538432,0.0,0.0,15,2620,Median left step length measured in meters during treadmill walking at 3 km/h. Step length is the distance between consecutive foot contacts and is a key spatial gait parameter used to assess walking biomechanics and mobility.
16,gait,Gait Features,Step_width_m: median - TM3,Step Width (m): Median,0.812851285628648,0.0,0.0,15,2620,"Median step width measured in meters during treadmill walking at 3 km/h. Step width is the lateral distance between the feet during walking, an indicator of gait stability and balance."
17,gait,Gait Features,Arm_Swing_1D_in_z_dir_m: median - TM3,Arm Swing (m): Median,0.7997436288505821,0.0,0.0,15,2620,Median arm swing amplitude in the z-direction (vertical) measured in meters during treadmill walking at 3 km/h. Arm swing is a component of normal gait biomechanics affecting balance and locomotion efficiency.
18,gait,Gait Features,RStep_time_s: median - TM3,R Step Time (s): Median,0.7723466379873084,0.0,0.0,15,2620,Right step time duration in seconds during treadmill walking; measures temporal gait parameter for right leg
19,hematopoietic,Hematopoietic,bt__hemoglobin,BT Hemoglobin,0.6118472405208116,0.0,0.0,15,3307,Hemoglobin concentration in blood (typically measured in g/dL) - measures the oxygen-carrying protein in red blood cells. Essential for diagnosing anemia and assessing overall blood health.
20,hematopoietic,Hematopoietic,bt__hct,BT Hematocrit,0.5838306792588853,3.254140124713546e-305,6.269259337611849e-304,15,3307,Hematocrit - measures the percentage of blood volume occupied by red blood cells (%). Indicates the proportion of blood composed of RBCs.
21,hematopoietic,Hematopoietic,bt__rbc,BT RBC Count,0.5354418192866022,2.0813588215805584e-245,3.5678095705361225e-244,15,3306,Red Blood Cell Count - measures the number of red blood cells per microliter of blood (typically in millions/μL). Assesses oxygen-carrying capacity and diagnoses anemia or erythrocytosis.
22,hematopoietic,Hematopoietic,bt__ferritin,BT Ferritin,0.3729620283622019,1.252133618599364e-54,1.1674068041502421e-53,15,1763,Ferritin - measures the iron storage protein concentration in blood (typically in ng/mL or μg/L). Indicates total body iron stores and helps diagnose iron deficiency or overload.
23,hematopoietic,Hematopoietic,bt__mchc,BT MCHC,0.306574987236157,3.0977799624813997e-70,3.2113652277723843e-69,15,3306,Mean Corpuscular Hemoglobin Concentration - measures the average concentration of hemoglobin within red blood cells (g/dL). Calculated from hemoglobin divided by hematocrit.
24,nightingale,Nightingale,HDL_size,HDL Size,0.5456975808266556,3.273226663076619e-126,4.657395062429934e-125,15,1621,HDL particle size; the average diameter or size classification of HDL particles in nanometers
25,nightingale,Nightingale,L_HDL_CE,Large HDL-CE,0.5346044120995145,3.24741561772872e-121,4.5173315014667245e-120,15,1621,Large HDL Cholesteryl Ester - cholesteryl ester content in large HDL particles
26,nightingale,Nightingale,L_HDL_C,Large HDL-C,0.5325610235651844,3.1899752059637715e-120,4.395301280622234e-119,15,1621,Large HDL Cholesterol - cholesterol content in large high-density lipoprotein particles (protective 'good' cholesterol subclass)
27,nightingale,Nightingale,VLDL_size,VLDL Size,0.4328475540254652,2.6968317587145543e-72,2.863903774986139e-71,15,1621,"Particle size of very-low-density lipoprotein (VLDL) measured in nanometers. VLDL is a lipoprotein produced by the liver that carries triglycerides and cholesterol in the bloodstream. Larger VLDL particles are generally considered less atherogenic than smaller, denser particles."
28,nightingale,Nightingale,ApoA1,Apoa1,0.4031757809525791,2.1482511292416917e-64,2.1701822312571523e-63,15,1621,"Apolipoprotein A1 concentration (g/L or mmol/L), the major protein component of HDL cholesterol. Associated with cardiovascular health and lipid metabolism."
29,metabolites,Metabolites,2.91_546.2135n,2.91 546.2135n,0.496488571138986,1.3634095631467709e-131,1.9721877866913753e-130,15,2089,
30,metabolites,Metabolites,2.85_272.0991m_z,2.85 272.0991m Z,0.4862617100886602,7.851474033317131e-126,1.1135282716958564e-124,15,2089,Metabolite biomarker
31,metabolites,Metabolites,3.34_467.2649m_z,3.34 467.2649m Z,0.4806774893137988,1.3972076244279824e-121,1.949821152807511e-120,15,2089,
32,metabolites,Metabolites,3.09_548.2293n,3.09 548.2293n,0.3687902840247686,1.188794450145937e-66,1.2150260647735704e-65,15,2089,
33,metabolites,Metabolites,3.08_413.6026m_z,3.08 413.6026m Z,0.3567855928625413,1.3103430906205105e-62,1.311548003807288e-61,15,2089,
34,cardiovascular_system,Cardiovascular,t_mv_V3,T (m)v V3,0.4506050544495782,3.921665489159855e-165,6.142061704964752e-164,15,3321,"Myocardial velocity or tissue velocity measurement in cardiac imaging (echocardiography), indicating ventricular wall motion"
35,cardiovascular_system,Cardiovascular,sitting_blood_pressure_systolic,Sitting BP Systolic,0.4342665742952184,2.315697095413485e-148,3.50088373382997e-147,15,3324,Systolic blood pressure in mmHg measured while patient is in sitting position
36,cardiovascular_system,Cardiovascular,lying_blood_pressure_systolic,Lying BP Systolic,0.4192664474990035,1.0526859868972809e-115,1.4278488432868413e-114,15,2749,"Systolic blood pressure in mmHg measured in lying/supine position, indicates pressure in arteries when heart contracts"
37,cardiovascular_system,Cardiovascular,standing_three_min_blood_pressure_systolic,Standing BP Systolic,0.4009739649171188,8.253484456038924e-107,1.0507506234384058e-105,15,2745,Systolic blood pressure in mmHg measured after standing for 3 minutes
38,cardiovascular_system,Cardiovascular,l_ankle_pressure,Ankle Pressure,0.3716851890432678,2.143970883132819e-108,2.786522156764267e-107,15,3308,Left ankle systolic blood pressure measurement in mmHg
39,sleep_group,Sleep,ahi,AHI,0.4419233072046404,1.9202655395779931e-143,2.863300054562528e-142,15,3026,"Apnea-Hypopnea Index; the number of apnea and hypopnea events per hour of sleep, a key diagnostic measure for sleep apnea severity"
40,sleep_group,Sleep,hypoxic_burden,Hypoxic Burden,0.4412703085666916,4.483077875265362e-143,6.639224853369179e-142,15,3026,"Cumulative measure of hypoxemia severity - quantifies the total oxygen desaturation burden during sleep, typically calculated as area under the curve of low oxygen saturation episodes"
41,sleep_group,Sleep,rdi,RDI,0.4094812357783375,6.948698827622223e-122,9.728178358671113e-121,15,3026,Respiratory Disturbance Index - total number of apneic and hypopneic events per hour of sleep (similar to AHI)
42,sleep_group,Sleep,odi,ODI,0.4051357570705694,1.4866454319337494e-118,2.0419098456276168e-117,15,3026,Overall Oxygen Desaturation Index - measures the total number of oxygen desaturation events per hour across entire sleep study
43,sleep_group,Sleep,saturation_mean,Mean O2 Saturation,0.3892656723942339,1.1145249902749973e-108,1.4528867687596822e-107,15,3026,"Mean oxygen saturation level (SpO2) across the entire sleep recording, measured as a percentage. Average oxygenation status during sleep and indicator of overall sleep-related hypoxemia burden."
44,liver,Liver,liver_sound_speed,Liver Sound Speed,0.6070881831110243,0.0,0.0,15,3303,Measures the speed of sound propagation through liver tissue; a physical property used in ultrasound elastography and tissue characterization to assess liver stiffness and fibrosis.
45,liver,Liver,liver_elasticity,Liver Elasticity,0.3818982210175873,7.243239893784154e-115,9.703712768472679e-114,15,3304,"Measures the stiffness and elasticity of liver tissue using elastography techniques; a key biomarker for assessing liver fibrosis and disease progression, particularly in hepatitis and cirrhosis."
46,liver,Liver,liver_attenuation,Liver Attenuation,0.303093661760155,1.8160113983220446e-68,1.860450265480984e-67,15,3303,"Measures the attenuation coefficient of ultrasound or imaging waves passing through liver tissue; indicates liver density and composition, useful for detecting fatty liver disease and other structural abnormalities."
47,liver,Liver,liver_viscosity,Liver Viscosity,0.2941065328707644,3.4738879122453524e-65,3.5339504602608095e-64,15,3304,"Measures the viscosity (thickness/resistance to flow) of liver tissue, typically obtained through ultrasound or imaging techniques to assess liver tissue properties and potential fibrosis or disease state."
48,liver,Liver,bt__platelets,BT Platelets,0.2483287836640493,1.2583383005878927e-46,1.1023752436136186e-45,15,3311,Platelet Count - the number of thrombocytes (platelets) in blood; low platelet counts (thrombocytopenia) are associated with advanced liver disease and portal hypertension due to splenic sequestration.
49,blood_tests_lipids,Lipids,bt__hdl_cholesterol,BT HDL Cholesterol,0.4818895986486142,4.180793341965518e-143,6.212687443999271e-142,15,2450,HDL cholesterol blood concentration ('good' cholesterol) in mg/dL; protective factor for cardiovascular health
50,blood_tests_lipids,Lipids,bt__triglycerides,BT Triglycerides,0.3845956170712155,9.396936382945045e-86,1.0766910792458613e-84,15,2475,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health"
51,blood_tests_lipids,Lipids,bt__non_hdl_cholesterol,BT Non-HDL Cholesterol,0.2101710936749046,2.612817027918039e-22,1.7971888372125028e-21,15,2357,"Non-HDL cholesterol blood concentration; measures total 'bad' cholesterol (LDL, VLDL, IDL) in mg/dL; indicator of cardiovascular risk"
52,blood_tests_lipids,Lipids,bt__total_cholesterol,BT Total Cholesterol,0.1870976040801671,3.815461183577833e-19,2.461113776784872e-18,15,2470,"Total cholesterol blood concentration; sum of all cholesterol types (HDL, LDL, VLDL) in mg/dL; key cardiovascular health marker"
53,high_level_diet_with_stage,High Level Diet,energy_kcal,Energy Kcal,0.2667916000920543,5.125885161262778e-53,4.72841186274113e-52,15,3256,Mean daily energy intake in kilocalories
54,high_level_diet_with_stage,High Level Diet,sodium_mg,Sodium (m)g,0.2352821393813279,1.2272236361238295e-40,1.041585128983071e-39,15,3256,Mean daily sodium intake in milligrams
55,high_level_diet_with_stage,High Level Diet,protein_g,Protein G,0.2267371806153765,4.997342882623753e-38,4.152372311248821e-37,15,3256,Mean daily protein intake in grams
56,high_level_diet_with_stage,High Level Diet,copper_mg,Copper (m)g,0.2079942069749122,1.0295329807829597e-27,7.741945765680494e-27,15,3256,Mean daily copper intake in milligrams
57,high_level_diet_with_stage,High Level Diet,totallipid_g,Totallipid G,0.2023006793182776,5.404706890548486e-29,4.121207320743977e-28,15,3256,Mean daily total fat/lipid intake in grams
58,immune_system,Immune,bt__wbc,BT WBC Count,0.2140837353746646,2.5061696717512345e-32,1.9839750456008866e-31,15,3306,"Total white blood cell (WBC) count (typically measured in thousands per microliter, K/µL). Represents total concentration of all leukocytes in circulation."
59,immune_system,Immune,bt__lymphocytes_abs,BT Lymphocytes,0.202336754336616,2.251187444047552e-30,1.744069418395559e-29,15,3306,"Absolute count of lymphocytes in blood (typically measured in thousands per microliter, K/µL). Represents total number of lymphocytes independent of other WBC types."
60,immune_system,Immune,bt__monocytes_abs,BT Monocytes,0.2013275086007611,7.505390212962646e-30,5.78379982075033e-29,15,3307,"Absolute count of monocytes in blood (typically measured in thousands per microliter, K/µL). Represents total monocyte concentration in circulation."
61,immune_system,Immune,bt__monocytes_%,BT Monocytes (%),0.17817400288104,3.686772602455943e-24,2.627202604106903e-23,15,3307,Percentage of monocytes in white blood cell differential count. Monocytes are immune cells that differentiate into macrophages and dendritic cells.
62,immune_system,Immune,bt__neutrophils_abs,BT Neutrophils,0.1581587961643298,1.2585544360632246e-17,7.783730134402387e-17,15,3307,"Absolute count of neutrophils in blood (typically measured in thousands per microliter, K/µL). Indicates total neutrophil concentration independent of other WBC populations."
63,lifestyle,Lifestyle,work_hours_per_day,Work Hours Per Day,0.2435067998882479,8.258732022201447e-35,6.658985041604648e-34,15,2819,Total hours worked per week as a measure of occupational time commitment and work-related lifestyle factor
64,lifestyle,Lifestyle,vigorous_activity_minutes,Vigorous Activity,0.2183775644530221,3.746067002196202e-28,2.8514642880353607e-27,15,2676,"Total minutes per week of vigorous-intensity physical activity, a cardiovascular fitness and lifestyle measure"
65,lifestyle,Lifestyle,beer_cider_pints_week,Beer Cider Pints Week,0.1849238585779913,1.7294139642705562e-15,1.0189267118313939e-14,15,2147,Weekly consumption of beer and cider measured in number of pints
66,lifestyle,Lifestyle,moderate_activity_days,Moderate Activity Days,0.1772697338027708,1.8465680169422684e-20,1.220023846095089e-19,15,2879,Number of days per week on which the participant engages in moderate-intensity physical activity
67,lifestyle,Lifestyle,work_days_per_week,Work Days Per Week,0.1308436949040974,1.4054435425291438e-10,7.033679522036658e-10,15,2810,"Number of days per week spent working, measuring occupational time commitment"
68,mental,Mental,health_satisfaction,Health Satisfaction,0.2414565243206152,1.8548702106516563e-41,1.5835499798386886e-40,15,3104,Subjective rating of satisfaction with overall health status and health condition
69,mental,Mental,rds_score,RDS Score,0.2005856600150101,4.193072850894578e-28,3.186149946386561e-27,15,3066,Composite biomarker score measuring disease activity or symptom severity (likely depression/psychological distress scale)
70,mental,Mental,depressed_hopeless_fortnight,Depressed Hopeless Fortnight,0.1710179509180117,2.808724398163886e-19,1.8198193496436845e-18,15,3088,"Binary indicator of depressed mood and hopelessness experienced over a two-week period, a core symptom of Major Depressive Disorder"
71,mental,Mental,tired_or_little_energy_fortnight,Tired Or Little Energy Fortnight,0.1654795559625425,6.112080965179611e-19,3.90778274924993e-18,15,3087,Ordinal measure of fatigue or low energy levels over a two-week period
72,mental,Mental,fidgety_or_restless_fortnight,Fidgety Or Restless Fortnight,0.1301455315788232,6.145985147985804e-12,3.275351203712386e-11,15,3082,"Assessment of fidgeting or restlessness over a two-week period, measuring psychomotor agitation or anxiety symptoms"
73,renal_function,Renal,bt__creatinine,BT Creatinine,0.6064588520004097,3.0957252163638327e-263,5.479181947987043e-262,15,2636,"Blood serum creatinine level, a waste product filtered by the kidneys. Measured in mg/dL or µmol/L. Used to assess kidney function and calculate glomerular filtration rate (GFR)."
74,renal_function,Renal,bt__urea,BT Urea,0.22465432025723,1.283717601190888e-26,9.603619305129084e-26,15,2291,"Blood urea nitrogen (BUN) or serum urea level, a nitrogen-containing waste product from protein metabolism filtered by the kidneys. Measured in mg/dL or mmol/L. Key indicator of renal function and protein catabolism."
75,renal_function,Renal,bt__sodium,BT (s)odium,0.1008974631440683,3.34126123820864e-05,0.00010913616977614717,15,2479,"Serum sodium concentration, a major extracellular electrolyte regulating fluid balance and osmolality. Measured in mEq/L or mmol/L. Kidney function affects sodium regulation."
76,renal_function,Renal,bt__potassium,BT Potassium,0.0895052955738926,9.033654918930511e-05,0.00028074613502514955,15,2483,"Serum potassium concentration, an electrolyte critical for cardiac and muscular function. Measured in mEq/L or mmol/L. Abnormal levels can indicate kidney dysfunction or electrolyte imbalance."
77,microbiome,Microbiome,Rep_3098,Rep 3098,0.1836160660140746,6.661874246378747e-23,4.6261244766719405e-22,15,3252,Microbiome species prevalence
78,microbiome,Microbiome,Rep_2166,Rep 2166,0.1612535665471672,4.86479266002144e-19,3.1194856026116862e-18,15,3252,Microbiome species prevalence
79,microbiome,Microbiome,Rep_3278,Rep 3278,0.1543608565548,1.0214320290769809e-17,6.335206630486004e-17,15,3252,Microbiome species prevalence
80,microbiome,Microbiome,Rep_3257,Rep 3257,0.1540160884106916,3.955780207153248e-17,2.4224285544226786e-16,15,3252,Microbiome species prevalence
81,microbiome,Microbiome,Rep_3243,Rep 3243,0.1539404840787854,1.096173191187984e-16,6.647267513137161e-16,15,3252,Microbiome species prevalence
82,glycemic_status,Glycemic,bt__glucose,BT Glucose,0.1387555227194515,3.4517576923577237e-12,1.8531384701017914e-11,15,2721,"Blood glucose concentration measured at a specific time point, typically in mg/dL or mmol/L, used to assess current glycemic status and screen for diabetes or hyperglycemia"
83,glycemic_status,Glycemic,iglu_median,IGLU Median,0.1240180444075112,5.880907216789159e-09,2.6451931840805785e-08,15,2569,Median glucose value - middle value of glucose measurements
84,glycemic_status,Glycemic,iglu_cv_measures_mean,IGLU CV Measures Mean,0.1226284453482966,8.390062217669517e-09,3.7124320015988897e-08,15,2569,Coefficient of Variation adjusted for mean glucose - a measure of glucose variability normalized to account for the individual's mean glucose level
