panel,gender,bar_order,system,label,label_display,seed,baseline_pearson_r,gait_pearson_r
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,7,0.0823117656712997,0.1383328421301317
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,8,0.0842217639769257,0.1248385339850999
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,9,0.0797651750588383,0.1267057314106186
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,10,0.0931704666157143,0.1463275143847945
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,11,0.0850393124433932,0.1229087780506492
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,12,0.0669012160309172,0.1037245866845944
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,13,0.0992151545858766,0.1430862442912937
b,male,3,lifestyle,sleep_hours,Sleep Hours in 24H,14,0.0879779681993302,0.1265319466040049
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,0,0.239650823341305,0.3172786034858845
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,1,0.2444217878270447,0.3171001115680317
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,2,0.2030630659946626,0.2939173629433007
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,3,0.2438936414678915,0.3222294745698794
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,4,0.238479724847553,0.300467243431427
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,5,0.2049347199021981,0.3089529522893828
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,6,0.2041875591482382,0.2941463460618697
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,7,0.2463087001551941,0.3110023167810497
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,8,0.2043121940284936,0.3179526265283869
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,9,0.2435880760702455,0.325301532973801
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,10,0.2552399247138724,0.3196814278688172
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,11,0.2104926885108571,0.3144492184783475
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,12,0.2374236029603353,0.3043913817433163
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,13,0.2362946626043849,0.3120622693316968
b,male,4,lifestyle,work_hours_per_day,Work Hours Per Day,14,0.2128829868957088,0.3262221351804699
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,0,0.3873430200874704,0.4208898497095203
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,1,0.3843711603160085,0.4198231561395265
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,2,0.3891790393081635,0.4152346752651257
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,3,0.3895859333452863,0.4158041145376646
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,4,0.3913379241468207,0.4143443335374773
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,5,0.3937718669924557,0.4166740890814581
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,6,0.3843576200394024,0.4081183558519462
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,7,0.3915241093193045,0.4120865099843219
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,8,0.3891878198830034,0.4201352185372689
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,9,0.3894521332517444,0.4260761251510601
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,10,0.3805405123706624,0.4058267547210722
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,11,0.3897232813060795,0.4146012443084136
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,12,0.3877421590851136,0.4194086533735064
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,13,0.3906470245146719,0.4196559294035621
b,male,5,blood_tests_lipids,bt__triglycerides,Triglycerides,14,0.3909913393679948,0.417438357578077
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,0,0.3557406084927235,0.4029254303982704
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,1,0.3518082698549035,0.3965435563516312
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,2,0.3575224131119195,0.3995058303794768
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,3,0.3569715101269565,0.3904304471408433
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,4,0.3538375428956016,0.3978019930674007
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,5,0.352617979346622,0.4039298334475311
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,6,0.3523113592971196,0.392501489361559
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,7,0.3571135718224126,0.3918940105517787
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,8,0.3530407258099456,0.395654447360116
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,9,0.3528174979166028,0.3954563075725158
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,10,0.3497054123502517,0.3948657840634599
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,11,0.3524030917338279,0.4029398280351555
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,12,0.3542429423735775,0.3947070371958737
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,13,0.3533771304753243,0.3992610678687897
b,male,6,blood_tests_lipids,bt__hdl_cholesterol,HDL Cholesterol,14,0.3547587769422481,0.3963022587470976
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,0,0.397784221715444,0.4857258113959678
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,1,0.4005844730966105,0.4691055138629718
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,2,0.4025621284475764,0.4648157181839412
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,3,0.3996738935235749,0.4800031069825777
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,4,0.4032437962259121,0.4737235601578511
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,5,0.4019369750167382,0.4610933939626243
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,6,0.4048954593678815,0.4637515508181409
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,7,0.4053814424512806,0.4756574028992423
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,8,0.4013703443050006,0.4809006604395767
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,9,0.4022328560588336,0.4854070617429503
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,10,0.3995373473660559,0.48113128096143
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,11,0.3995243193182188,0.4927939031866025
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,12,0.3986342060452013,0.4781160288628726
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,13,0.40140483367147,0.4781066542182056
b,male,7,nightingale,XL_HDL_PL,XL HDL Phospholipids,14,0.3975922286256499,0.4730798356130218
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,0,0.3747204882395525,0.4051620122630565
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,1,0.3739570876796877,0.4018304967989083
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,2,0.3733478733289064,0.4060235905890712
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,3,0.3759408677648849,0.396977593763867
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,4,0.3706233412105951,0.4037038252077748
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,5,0.3715036124531101,0.402838905010336
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,6,0.3670445749616657,0.3898382361296423
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,7,0.3682638891642287,0.4059078893208813
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,8,0.3663813100418219,0.4043798285515987
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,9,0.3733541942305521,0.4092398838515134
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,10,0.3783820340745003,0.3973674940535126
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,11,0.3610038009531257,0.3956286916112242
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,12,0.3753730682719649,0.4019159656053401
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,13,0.3703493967441424,0.4043156352943433
b,male,8,nightingale,GlycA,GlycA Inflammation Signal,14,0.3707531757414975,0.4090335388304309
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),0,0.0388916618754719,0.1142181269997681
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),1,0.0360943296929318,0.10837726919103
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),2,0.0422656024072258,0.1245273465816484
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),3,0.0113867395524518,0.1007249719278299
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),4,0.0043251350341312,0.0914097299663574
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),5,0.0480083926417391,0.122820376644086
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),6,0.01612206923019,0.0951473116720682
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),7,0.0057985097930114,0.0606717220376025
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),8,0.0301230475614976,0.1092473055805467
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),9,0.0295907099507358,0.0997953899309755
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),10,0.0075635675852561,0.0945933396565048
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),11,0.0367044892483081,0.1193552730749262
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),12,0.0163075070136829,0.066717475560728
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),13,0.0430206496321142,0.0781239445263796
b,male,9,metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),14,0.0239160936905542,0.0847504766847452
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,0,0.0124731831483247,0.259841109403342
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,1,-0.0429054829412558,0.2352524973695247
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,2,0.0206242203103807,0.2452248736122817
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,3,-0.0170173753490481,0.2475534134690884
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,4,-0.0131052535051304,0.2428348409591476
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,5,-0.0556896067393593,0.2260257532097682
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,6,-0.0326897148105886,0.249749450623532
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,7,-0.0447455857566349,0.2280248041444501
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,8,-0.0609552047999733,0.2491621909474783
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,9,-0.0533677971556343,0.2419163516256291
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,10,-0.0102089688478297,0.2186366129869328
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,11,-0.0116396857648231,0.2192096289078629
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,12,-0.0433116152918513,0.2384260747608186
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,13,-0.0478771308270418,0.2389071391566873
b,male,10,metabolites,5.37_291.1602m_z,5.37 291.1602M Z,14,-0.0155080586331995,0.2487729580780038
b,male,11,mental,happiness_level,Happiness Level,0,0.0265383881952716,0.0720418454849646
b,male,11,mental,happiness_level,Happiness Level,1,-0.0081019124552301,0.048195277710779
b,male,11,mental,happiness_level,Happiness Level,2,0.0155373055240613,0.0855057719447511
b,male,11,mental,happiness_level,Happiness Level,3,0.0007592797745972,0.0657063161866033
b,male,11,mental,happiness_level,Happiness Level,4,-0.0377435543504207,0.0566819147264507
b,male,11,mental,happiness_level,Happiness Level,5,-0.0037167168028884,0.0777888735843641
b,male,11,mental,happiness_level,Happiness Level,6,-0.0365263009068203,0.0550466701179644
b,male,11,mental,happiness_level,Happiness Level,7,0.0025187345955291,0.0810824410884376
b,male,11,mental,happiness_level,Happiness Level,8,-0.041987023877073,0.0473859641046288
b,male,11,mental,happiness_level,Happiness Level,9,-0.0146994579004394,0.0755507610287415
b,male,11,mental,happiness_level,Happiness Level,10,-0.0100607348063415,0.0691056996198078
b,male,11,mental,happiness_level,Happiness Level,11,-0.0246404912633319,0.073054516209876
b,male,11,mental,happiness_level,Happiness Level,12,0.0147025027701258,0.0960777864591037
b,male,11,mental,happiness_level,Happiness Level,13,-0.0135315733402514,0.0647315087857695
b,male,11,mental,happiness_level,Happiness Level,14,0.002009922078392,0.0901095991381843
b,male,12,mental,health_satisfaction,Health Satisfaction,0,0.2392397769027784,0.2714953752647709
b,male,12,mental,health_satisfaction,Health Satisfaction,1,0.2377731737071135,0.2678891458669387
b,male,12,mental,health_satisfaction,Health Satisfaction,2,0.236361861926335,0.2738426485598593
b,male,12,mental,health_satisfaction,Health Satisfaction,3,0.2398886712124388,0.2541052595322228
b,male,12,mental,health_satisfaction,Health Satisfaction,4,0.2276782131609213,0.2668478312947291
b,male,12,mental,health_satisfaction,Health Satisfaction,5,0.2353694142967929,0.2746670517117706
b,male,12,mental,health_satisfaction,Health Satisfaction,6,0.2338836993349929,0.2664556989031394
b,male,12,mental,health_satisfaction,Health Satisfaction,7,0.2397050593794374,0.2730382866677888
b,male,12,mental,health_satisfaction,Health Satisfaction,8,0.2364786094170262,0.2657762457736801
b,male,12,mental,health_satisfaction,Health Satisfaction,9,0.2290261078036868,0.2574574718125232
b,male,12,mental,health_satisfaction,Health Satisfaction,10,0.2408390529570873,0.2654558873946621
b,male,12,mental,health_satisfaction,Health Satisfaction,11,0.2376060986892882,0.2705840660410743
b,male,12,mental,health_satisfaction,Health Satisfaction,12,0.2408504030524863,0.2571848374092328
b,male,12,mental,health_satisfaction,Health Satisfaction,13,0.2389012948371625,0.2699399293719022
b,male,12,mental,health_satisfaction,Health Satisfaction,14,0.2352560754837654,0.264999128316647
b,male,13,liver,liver_sound_speed,Liver Sound Speed,0,0.5300413211547644,0.5592582831799223
b,male,13,liver,liver_sound_speed,Liver Sound Speed,1,0.5322842775610149,0.5645138880425224
b,male,13,liver,liver_sound_speed,Liver Sound Speed,2,0.5314447081607373,0.5568982391563938
b,male,13,liver,liver_sound_speed,Liver Sound Speed,3,0.5319302911477689,0.5551843483001109
b,male,13,liver,liver_sound_speed,Liver Sound Speed,4,0.5305044228696105,0.5571436045658346
b,male,13,liver,liver_sound_speed,Liver Sound Speed,5,0.5325081180846419,0.5495792979599641
b,male,13,liver,liver_sound_speed,Liver Sound Speed,6,0.5322893922649344,0.5586316349925711
b,male,13,liver,liver_sound_speed,Liver Sound Speed,7,0.5321998464559794,0.5601609733803895
b,male,13,liver,liver_sound_speed,Liver Sound Speed,8,0.5321632503434992,0.5581697645009931
b,male,13,liver,liver_sound_speed,Liver Sound Speed,9,0.5300052766707383,0.5510858789741437
b,male,13,liver,liver_sound_speed,Liver Sound Speed,10,0.5320582868162396,0.5556428887735544
b,male,13,liver,liver_sound_speed,Liver Sound Speed,11,0.53349751111468,0.5539784794609884
b,male,13,liver,liver_sound_speed,Liver Sound Speed,12,0.5338123043790333,0.5604235476159407
b,male,13,liver,liver_sound_speed,Liver Sound Speed,13,0.5316061680197565,0.5569214872069422
b,male,13,liver,liver_sound_speed,Liver Sound Speed,14,0.5299030525297007,0.5548134352666235
b,male,14,liver,liver_viscosity,Liver Viscosity,0,0.2146229861887769,0.2339465151150481
b,male,14,liver,liver_viscosity,Liver Viscosity,1,0.2146235247365581,0.2459781020191285
b,male,14,liver,liver_viscosity,Liver Viscosity,2,0.222222956747237,0.2443075770089276
b,male,14,liver,liver_viscosity,Liver Viscosity,3,0.2219523517300567,0.2356432384388949
b,male,14,liver,liver_viscosity,Liver Viscosity,4,0.215602554865808,0.2300080722111071
b,male,14,liver,liver_viscosity,Liver Viscosity,5,0.2193495244104163,0.2245895442456369
b,male,14,liver,liver_viscosity,Liver Viscosity,6,0.2080551861355494,0.2212083255635249
b,male,14,liver,liver_viscosity,Liver Viscosity,7,0.2214466791503345,0.2357228690512618
b,male,14,liver,liver_viscosity,Liver Viscosity,8,0.2178744036357447,0.2252412611909119
b,male,14,liver,liver_viscosity,Liver Viscosity,9,0.2188629877145751,0.2331343967767837
b,male,14,liver,liver_viscosity,Liver Viscosity,10,0.219318256471814,0.2362046086212127
b,male,14,liver,liver_viscosity,Liver Viscosity,11,0.2177115762516086,0.2483044291676067
b,male,14,liver,liver_viscosity,Liver Viscosity,12,0.2182862427931182,0.2450866034780941
b,male,14,liver,liver_viscosity,Liver Viscosity,13,0.2155742658024413,0.2403596619324583
b,male,14,liver,liver_viscosity,Liver Viscosity,14,0.219926033126182,0.2279949992672748
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,0,0.2749937071238313,0.3562180988949278
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,1,0.2765400090093506,0.3585258252931016
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,2,0.2755237139471048,0.3633499941457317
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,3,0.2786391955597265,0.3650414632656482
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,4,0.2794670329575852,0.3653723682624221
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,5,0.2795245486711047,0.3612313181721341
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,6,0.2797396867734059,0.3539555794141664
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,7,0.2793816460582333,0.3538276286118635
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,8,0.2769231772125325,0.3495578935510297
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,9,0.2778625156902821,0.3565769442047951
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,10,0.2792604219123593,0.3488574350269645
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,11,0.2775337313602348,0.3598912995937465
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,12,0.2766122570983111,0.3578797068142704
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,13,0.2774761741679452,0.3419581805526636
b,male,15,cardiovascular_system,hr_bpm,Heart Rate,14,0.2779779146779005,0.3595484528294138
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,0,0.1847069456618404,0.2395386129694995
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,1,0.1444372027324089,0.228022523814296
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,2,0.1762876606712441,0.2193246668340673
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,3,0.1653648809934488,0.2245548309111796
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,4,0.1617601977463398,0.240093920273213
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,5,0.1501243147120959,0.2520266615146057
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,6,0.1676064743635802,0.2339351452487252
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,7,0.1933455242033212,0.2257506300412491
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,8,0.1775572706865563,0.2328615439209416
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,9,0.1836579531274348,0.2330005507619189
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,10,0.1878270765627509,0.242149484412853
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,11,0.1783450966596772,0.2488484696606749
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,12,0.1917473118357334,0.2222359633421239
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,13,0.1837078734760457,0.2479000125895318
b,male,16,cardiovascular_system,automorph_vein_fractal_dimension,Vein Fractal Dimension,14,0.181898154701605,0.2300742019400218
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,0,0.3553834993217739,0.5494504044921911
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,1,0.3582995915360169,0.5410338155106731
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,2,0.3535590749546915,0.5394818197233264
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,3,0.3875255624962896,0.5449511776904393
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,4,0.359500296669818,0.5411072023218587
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,5,0.3559326821529723,0.5397588423461943
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,6,0.3717455500016283,0.5480711070861887
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,7,0.3586731888197269,0.5496090631901625
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,8,0.3607398099580189,0.55305202796915
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,9,0.3583961612454501,0.5441674514509868
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,10,0.3599490650916604,0.5454820404257144
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,11,0.3554293733723227,0.5426067381882539
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,12,0.3600501244186031,0.5500581015356911
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,13,0.3574454980972907,0.5439614673065037
b,male,17,bone_density,spine_l1_l4_area,Spine L1-L4 Area,14,0.3627747697193836,0.5460564880538697
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,0,0.279271025796065,0.4538056077455752
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,1,0.2787196820705983,0.4533360571762859
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,2,0.2755299422296903,0.4483716887412652
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,3,0.2774516863160829,0.4408007246339396
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,4,0.2786174695013994,0.4424364842272231
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,5,0.2764184393103786,0.4394232239052894
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,6,0.2792110776508165,0.4462216062685633
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,7,0.2797590470147955,0.4504371530557494
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,8,0.2772512218554552,0.4552587922830473
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,9,0.2784836350207963,0.4401371708215705
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,10,0.2821184459502638,0.4559621016346382
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,11,0.2757369299855035,0.4465528357060055
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,12,0.2783597056221381,0.4384779819713769
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,13,0.2754064299021483,0.4407611048255336
b,male,18,bone_density,spine_l1_l3_bmc,Spine L1-L3 BMC,14,0.2738497043990923,0.4433131140955271
