panel,gender,bar_order,system,system_display,label,label_display,baseline_pearson_r,gait_pearson_r,pearson_r_improvement,baseline_seed_sd,gait_seed_sd,score_pvalue,wilcox_pvalue,wilcox_pvalue_fdr,n_seeds,n_subjects,description
d,female,7,nightingale,Nightingale,L_VLDL_FC,L VLDL Free Cholesterol,0.4410579505935787,0.4714478408639374,0.0303898902703587,0.002767374001261151,0.011611877399087452,5.277298194771822e-45,3.0517578125e-05,0.0001494873604273,15,812,VLDL free cholesterol - measures the concentration of unesterified cholesterol within very low-density lipoprotein particles
d,female,8,nightingale,Nightingale,XL_HDL_PL,XL HDL Phospholipids,0.4005741965682549,0.4346427298787011,0.0340685333104461,0.002538766440370067,0.008933300052489478,3.201193108331453e-38,3.0517578125e-05,0.0001494873604273,15,812,"Phospholipid content in extra-large high-density lipoprotein particles, measured in concentration units. Phospholipids are a major structural component of lipoprotein particles."
d,female,9,metabolites,Metabolites,Fibrinopeptide B (1-12),Fibrinopeptide B (1-12),-0.0228856762053002,0.075237642046721,0.0981233182520212,0.022685229435953785,0.014084867903545269,0.022919521265107,3.0517578125e-05,0.0001494873604273,15,1041,Annotated metabolite (original: 2.34_661.2535m_z)
d,female,10,metabolites,Metabolites,5.37_291.1602m_z,5.37 291.1602M Z,0.0781691234586913,0.2089236870595714,0.13075456360088,0.029061776497861055,0.014229841020289147,3.394533181857408e-10,3.0517578125e-05,0.0001494873604273,15,1041,
d,female,11,mental,Mental,happiness_level,Happiness Level,-0.0643209544082088,0.0744487537213589,0.1387697081295677,0.016027689233324014,0.011850249162858614,0.0056062068034979,3.0517578125e-05,0.0001494873604273,15,1610,"Subjective rating of overall happiness and positive emotional state, a core measure of subjective well-being"
d,female,12,mental,Mental,health_satisfaction,Health Satisfaction,0.297463627920718,0.3174177693390027,0.0199541414182846,0.0030016644902699932,0.004734182236902801,1.1089061449182891e-38,3.0517578125e-05,0.0001494873604273,15,1621,Subjective rating of satisfaction with overall health status and health condition
d,female,13,liver,Liver,liver_elasticity,Liver Elasticity,0.0880332680614019,0.1598768049206527,0.0718435368592507,0.004652553474828639,0.010243489162314946,8.40794803298127e-10,3.0517578125e-05,0.0001494873604273,15,1706,"Measures the stiffness and elasticity of liver tissue using elastography techniques; a key biomarker for assessing liver fibrosis and disease progression, particularly in hepatitis and cirrhosis."
d,female,14,liver,Liver,bt__protein_total,Protein Total,0.1172791492396552,0.1423106122767543,0.025031463037099,0.00915216089700254,0.02125221433812742,0.0009436694210188,0.00030517578125,0.0011486923485471,15,649,"Total Serum Protein - the combined measurement of all plasma proteins (albumin and globulins); reflects liver synthetic function, hydration status, inflammation, and overall protein metabolism."
d,female,15,cardiovascular_system,Cardiovascular,automorph_artery_fractal_dimension,Artery Fractal Dim,0.1959488749568585,0.2345371824754182,0.0385883075185597,0.010194711558314305,0.012083812278203205,9.887504114193977e-18,3.0517578125e-05,0.0001494873604273,15,1407,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
d,female,16,cardiovascular_system,Cardiovascular,intima_media_th_2_fit,Carotid IMT,0.0337063409058962,0.074309714818449,0.0406033739125528,0.013215453189423387,0.012551621664025478,0.0173837773731498,3.0517578125e-05,0.0001494873604273,15,1169,"Carotid artery intima-media thickness measurement from second ultrasound image, fitted/processed value. IMT indicator of atherosclerosis."
d,female,17,bone_density,Bone Density,spine_l1_l4_area,Spine L1-L4 Area,0.3541514659367195,0.5045017715031467,0.1503503055664272,0.02324331498924619,0.004193013148827475,3.721207731642944e-100,3.0517578125e-05,0.0001494873604273,15,1557,Projected bone area of the L1-L4 lumbar spine region measured in cm² via DXA. Standard assessment region representing the entire clinically-relevant lumbar spine.
d,female,18,bone_density,Bone Density,spine_l1_l3_bmc,Spine L1-L3 BMC,0.3749850232658723,0.4797693882894434,0.104784365023571,0.0016304856338920206,0.004516228254612954,3.254783733450595e-89,3.0517578125e-05,0.0001494873604273,15,1558,Bone Mineral Content (BMC) of the L1-L3 lumbar spine region measured in grams via DXA. Total mineral mass across three lumbar vertebrae.
d,female,19,high_level_diet_with_stage,High Level Diet,totalpolyunsaturatedfattyacids_g,Total PUFA (g),0.1044560396961574,0.1410065719810774,0.0365505322849199,0.0037167371435485835,0.008858348865351104,3.931560903795406e-08,3.0517578125e-05,0.0001494873604273,15,1693,Mean daily polyunsaturated fatty acids intake in grams
d,female,20,high_level_diet_with_stage,High Level Diet,copper_mg,Copper Mg,0.1370482318995624,0.1727814026976032,0.0357331707980407,0.003868759642496636,0.012814036395666887,5.853518000020823e-11,3.0517578125e-05,0.0001494873604273,15,1693,Mean daily copper intake in milligrams
d,female,21,hematopoietic,Hematopoietic,bt__mcv,MCV,0.2047909491426481,0.2212106506115454,0.0164197014688973,0.0030766866130497216,0.006837296283861971,8.246252695905617e-20,3.0517578125e-05,0.0001494873604273,15,1702,Mean Corpuscular Volume - measures the average size of red blood cells in femtoliters (fL). Used to classify types of anemia and assess red blood cell morphology.
d,female,22,sleep_group,Sleep,sleep_efficiency,Sleep Efficiency,0.0404296338670151,0.0784278081244311,0.037998174257416,0.008726276305681468,0.01325082518788783,0.0045547432758144,3.0517578125e-05,0.0001494873604273,15,1545,"Percentage of total time in bed that was spent in actual sleep. Calculated as (total sleep time / total time in bed) × 100. A key metric of sleep quality, with higher values indicating better sleep continuity."
d,female,23,sleep_group,Sleep,hypoxic_burden,Hypoxic Burden,0.5086061543384687,0.5236968049175752,0.0150906505791065,0.0012201251629615495,0.002841242111329989,1.573203416032476e-110,3.0517578125e-05,0.0001494873604273,15,1535,"Cumulative measure of hypoxemia severity - quantifies the total oxygen desaturation burden during sleep, typically calculated as area under the curve of low oxygen saturation episodes"
