panel,gender,box_row,x_position,system,system_display,n_endpoints_in_box,n_significant,n_tested,median,q1,q3,whisker_low,whisker_high,minimum,maximum
c,female,Pearson r improvement (delta from baseline),2,lifestyle,Lifestyle,6,6,18,0.04847599734333435,0.039258730639344624,0.053914152014184195,0.0375263360440116,0.0618033568194633,0.0155970086811751,0.0618033568194633
c,female,Pearson r improvement (delta from baseline),3,metabolites,Metabolites,256,256,1810,0.03858776242894095,0.020925262363512352,0.06012217056843272,0.0074530290710973,0.1147841766077595,0.0074530290710973,0.1653615169020916
c,female,Pearson r improvement (delta from baseline),4,nightingale,Nightingale,99,99,167,0.0377097737339882,0.02565163242141865,0.0674834261999574,0.0031658201963487,0.0846635067638894,0.0031658201963487,0.0846635067638894
c,female,Pearson r improvement (delta from baseline),5,frailty,Frailty,6,6,6,0.035765463609845546,0.022139258503510527,0.06903962116165474,0.0218244526157945,0.095801656624696,0.0218244526157945,0.095801656624696
c,female,Pearson r improvement (delta from baseline),6,liver,Liver,3,3,11,0.0353116481498521,0.03017155559347555,0.053577592504551394,0.025031463037099,0.0718435368592507,0.025031463037099,0.0718435368592507
c,female,Pearson r improvement (delta from baseline),7,blood_tests_lipids,Lipids,3,3,4,0.0334057628068298,0.02038728853833665,0.03922349144539135,0.0073688142698435,0.0450412200839529,0.0073688142698435,0.0450412200839529
c,female,Pearson r improvement (delta from baseline),8,high_level_diet_with_stage,High Level Diet,23,23,92,0.02631009072341,0.0159514330508019,0.035402461681644,0.0070138584970457,0.0471813154935353,0.0070138584970457,0.0927684014287895
c,female,Pearson r improvement (delta from baseline),9,glycemic_status,Glycemic,3,3,48,0.0256399183896343,0.02065920607591735,0.0303011964833831,0.0156784937622004,0.0349624745771319,0.0156784937622004,0.0349624745771319
c,female,Pearson r improvement (delta from baseline),10,bone_density,Bone Density,151,151,182,0.0239361059730277,0.0168094708918845,0.035737447942378445,0.0037126144035189,0.063016735170887,0.0037126144035189,0.1503503055664272
c,female,Pearson r improvement (delta from baseline),11,mental,Mental,4,4,13,0.02255414394897025,0.017661076418260726,0.053558036892133856,0.0107818814181891,0.053558036892133856,0.0107818814181891,0.1387697081295677
c,female,Pearson r improvement (delta from baseline),12,microbiome,Microbiome,52,52,516,0.0217816724883168,0.013359874198793774,0.03284249263848513,0.00521347890289,0.0531282799794997,0.00521347890289,0.1132565084633668
c,female,Pearson r improvement (delta from baseline),13,body_composition,Body Composition,90,90,116,0.0213394362733908,0.013502993136367625,0.029674945091498425,0.0014244781611562,0.0524692267976699,0.0014244781611562,0.058857883471046
c,female,Pearson r improvement (delta from baseline),14,cardiovascular_system,Cardiovascular,25,25,165,0.0177613157825193,0.0105737993777038,0.0273756340811747,0.0029392237443466,0.0424791736663251,0.0029392237443466,0.0816552324479727
c,female,Pearson r improvement (delta from baseline),15,sleep_group,Sleep,6,6,20,0.014005565664115701,0.01163899607296375,0.01496768521280715,0.0110478806925109,0.0150906505791065,0.003865309681489,0.037998174257416
c,female,Pearson r improvement (delta from baseline),16,anthropometric_group,Anthropometric,2,2,2,0.0133064750508558,0.011849160537058149,0.01476378956465345,0.0103918460232605,0.0162211040784511,0.0103918460232605,0.0162211040784511
c,female,Pearson r improvement (delta from baseline),17,immune_system,Immune,1,1,11,0.0057435088953021,0.0057435088953021,0.0057435088953021,0.0057435088953021,0.0057435088953021,0.0057435088953021,0.0057435088953021
c,female,Pearson r,1,hematopoietic,Hematopoietic,2,2,8,0.22739238714764365,0.22430151887959454,0.23048325541569276,0.2212106506115454,0.2335741236837419,0.2212106506115454,0.2335741236837419
c,female,Pearson r,2,lifestyle,Lifestyle,6,6,18,0.1774439548527074,0.13766618810129266,0.22867634967528755,0.0660260638323851,0.3287893550246045,0.0660260638323851,0.3287893550246045
c,female,Pearson r,3,metabolites,Metabolites,256,256,1810,0.09339594872799756,0.07946764221508608,0.11513230500398955,0.0666713358719737,0.1598699053854168,0.0666713358719737,0.2767274503936863
c,female,Pearson r,4,nightingale,Nightingale,99,99,167,0.3520961815340072,0.2725706025669587,0.42552841025901367,0.0954236767149978,0.4874978626124127,0.0954236767149978,0.4874978626124127
c,female,Pearson r,5,frailty,Frailty,6,6,6,0.6493639126580324,0.47431396389478,0.8020434853868557,0.4210445588822659,0.8448292955247427,0.4210445588822659,0.8448292955247427
c,female,Pearson r,6,liver,Liver,3,3,11,0.1598768049206527,0.1510937085987035,0.4084952348761567,0.1423106122767543,0.6571136648316607,0.1423106122767543,0.6571136648316607
c,female,Pearson r,7,blood_tests_lipids,Lipids,3,3,4,0.3855448900550483,0.3535821633353788,0.39575898640221585,0.3216194366157093,0.4059730827493834,0.3216194366157093,0.4059730827493834
c,female,Pearson r,8,high_level_diet_with_stage,High Level Diet,23,23,92,0.0926622023211511,0.07445439375737359,0.13203100867155576,0.0571189306997416,0.1727814026976032,0.0571189306997416,0.1727814026976032
c,female,Pearson r,9,glycemic_status,Glycemic,3,3,48,0.1312332419390964,0.1042903005333636,0.13301121379407316,0.0773473591276308,0.1347891856490499,0.0773473591276308,0.1347891856490499
c,female,Pearson r,10,bone_density,Bone Density,151,151,182,0.5104171459773807,0.47033359315586176,0.5860017900814056,0.3008255499677125,0.7593516822530436,0.0640174798887166,0.834174023272847
c,female,Pearson r,11,mental,Mental,4,4,13,0.15075866168080126,0.07333387764952082,0.24965586956493338,0.0699892494340066,0.3174177693390027,0.0699892494340066,0.3174177693390027
c,female,Pearson r,12,microbiome,Microbiome,52,52,516,0.0763501742739261,0.0640782342160603,0.09354289601707455,0.0539380380145316,0.1296487757595541,0.0539380380145316,0.1296487757595541
c,female,Pearson r,13,body_composition,Body Composition,90,90,116,0.8490121979262347,0.7663924987254602,0.9281446005363501,0.6244491238377458,0.9965923197641616,0.1106814955848161,0.9965923197641616
c,female,Pearson r,14,cardiovascular_system,Cardiovascular,25,25,165,0.2359768504447355,0.1323434217357713,0.2683065103141083,0.0606400593163033,0.4456744421629842,0.0606400593163033,0.4456744421629842
c,female,Pearson r,15,sleep_group,Sleep,6,6,20,0.36036108344834994,0.14768788310270536,0.49664002067519847,0.0784278081244311,0.5250265250510266,0.0784278081244311,0.5250265250510266
c,female,Pearson r,16,anthropometric_group,Anthropometric,2,2,2,0.8762017388852921,0.8683611655654094,0.8840423122051746,0.8605205922455268,0.8918828855250572,0.8605205922455268,0.8918828855250572
c,female,Pearson r,17,immune_system,Immune,1,1,11,0.1203646571217465,0.1203646571217465,0.1203646571217465,0.1203646571217465,0.1203646571217465,0.1203646571217465,0.1203646571217465
