panel,gender_of_panel,label,label_display,system,activity,role,model,gender_of_row,score_type,pearson_r,score_pvalue,n_seeds,n_subjects,used_by_figure,description
b,male,age,Age,subject_group,activity_tm_3kmh,masked torso,long_masked_torso,male,pearson_r,0.6300021413707544,3.13301780511953e-171,10,3189,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_tm_3kmh,masked legs,long_masked_legs,male,pearson_r,0.6114059262275554,3.2272506214879706e-159,10,3189,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_tm_3kmh,masked legs,long_masked_legs,male,pearson_r,0.6304640265779354,3.548305300350354e-172,10,3189,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_tm_3kmh,all but head,long_all_but_head,male,pearson_r,0.4755056534570093,6.372811764746486e-87,10,3189,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_tm_3kmh,all but head,long_all_but_head,male,pearson_r,0.5584701362878232,1.0834631762348653e-126,10,3189,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_tm_3kmh,all but arms,long_all_but_arms,male,pearson_r,0.5016731929788592,1.994937998467165e-98,10,3189,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_tm_3kmh,all but arms,long_all_but_arms,male,pearson_r,0.5578817643537738,1.160807470468796e-126,10,3189,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_tm_3kmh,all but torso,long_all_but_torso,male,pearson_r,0.4814477754416775,3.459182475825363e-89,10,3189,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_tm_3kmh,all but torso,long_all_but_torso,male,pearson_r,0.5173837636230039,1.9427828249304001e-106,10,3189,False,Age of subject at time of measurement in years
b,male,age,Age,age_gender_bmi_VAT,activity_tm_3kmh,all but legs,long_all_but_legs,male,pearson_r,0.5085476626783217,8.056508463293237e-103,10,3189,True,Age of subject at time of measurement in years
b,male,age,Age,subject_group,activity_tm_3kmh,all but legs,long_all_but_legs,male,pearson_r,0.5360757876899825,8.585787926743585e-116,10,3189,False,Age of subject at time of measurement in years
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,full model,long_seq,male,pearson_r,0.1093755890638893,0.0002707391892419,10,2654,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,masked head,long_masked_head,male,pearson_r,0.1229077524870628,0.0001355097590202,10,2654,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,masked arms,long_masked_arms,male,pearson_r,0.0950684492116913,0.0010260547242448,10,2654,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,masked torso,long_masked_torso,male,pearson_r,0.1098892193932269,0.0002101061036655,10,2654,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,masked legs,long_masked_legs,male,pearson_r,0.1088230551443368,0.00031061513988,10,2654,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,all but head,long_all_but_head,male,pearson_r,0.0838157141773749,0.0078772407928647,10,2654,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,all but arms,long_all_but_arms,male,pearson_r,0.1157210351829559,0.0002101888382548,10,2654,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,all but torso,long_all_but_torso,male,pearson_r,0.0948626403443044,0.0028386593824222,10,2654,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,all but legs,long_all_but_legs,male,pearson_r,0.1237690335213225,5.753715931803434e-05,10,2654,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,full model,long_seq,male,pearson_r,0.10971707313558,0.0003554616747262,10,2595,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,masked head,long_masked_head,male,pearson_r,0.1106086670965617,0.0004384146396759,10,2595,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,masked arms,long_masked_arms,male,pearson_r,0.0797107346608015,0.0095324598166145,10,2595,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,masked torso,long_masked_torso,male,pearson_r,0.1097705812701387,0.0006141693314585,10,2595,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,masked legs,long_masked_legs,male,pearson_r,0.1071843932830808,0.001425433948522,10,2595,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,all but head,long_all_but_head,male,pearson_r,0.0981700791301562,0.0013817386930191,10,2595,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,all but arms,long_all_but_arms,male,pearson_r,0.10312040659716,0.0014368801755872,10,2595,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,all but torso,long_all_but_torso,male,pearson_r,0.0842339908304606,0.007724705668848,10,2595,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_artery_fractal_dimension,Artery Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,all but legs,long_all_but_legs,male,pearson_r,0.1118646606445791,0.0003813663267984,10,2595,True,"Measures the fractal complexity specifically of retinal arteries, with values typically between 1-2 representing self-similar branching patterns in arterial network."
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,full model,long_seq,male,pearson_r,0.2343920093413894,4.675732334957478e-16,10,2654,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,masked head,long_masked_head,male,pearson_r,0.2292170244712187,2.310758131619767e-15,10,2654,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,masked arms,long_masked_arms,male,pearson_r,0.2401689381237141,2.9774300562811097e-17,10,2654,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,masked torso,long_masked_torso,male,pearson_r,0.2450072363879457,6.712351146440945e-17,10,2654,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,masked legs,long_masked_legs,male,pearson_r,0.2124683988226758,8.28221015108484e-14,10,2654,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,all but head,long_all_but_head,male,pearson_r,0.164348031400863,1.62842446563912e-08,10,2654,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,all but arms,long_all_but_arms,male,pearson_r,0.1883433090176906,3.20909960405372e-10,10,2654,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,all but torso,long_all_but_torso,male,pearson_r,0.1630464438435,1.7053246601196477e-08,10,2654,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_self_selected_gait_speed,all but legs,long_all_but_legs,male,pearson_r,0.2475955892814102,4.419042287687445e-17,10,2654,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,full model,long_seq,male,pearson_r,0.2125967181193238,8.101293870849388e-14,10,2595,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,masked head,long_masked_head,male,pearson_r,0.2113897601871088,2.508947494607704e-12,10,2595,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,masked arms,long_masked_arms,male,pearson_r,0.1986467484240245,3.95002801444979e-11,10,2595,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,masked torso,long_masked_torso,male,pearson_r,0.2130646264152698,2.8897110437583298e-12,10,2595,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,masked legs,long_masked_legs,male,pearson_r,0.1929756095386252,1.9219111269367724e-10,10,2595,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,all but head,long_all_but_head,male,pearson_r,0.1503658700675899,5.542602738424635e-07,10,2595,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,all but arms,long_all_but_arms,male,pearson_r,0.1744280480983217,2.531689762427688e-09,10,2595,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,all but torso,long_all_but_torso,male,pearson_r,0.1501351368461803,1.597106463793503e-07,10,2595,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,automorph_vein_fractal_dimension,Vein Fractal Dim,cardiovascular_system_group,activity_tm_3kmh,all but legs,long_all_but_legs,male,pearson_r,0.2340560725422966,5.3278596725882316e-14,10,2595,True,"Fractal dimension of retinal veins from image analysis, measuring the complexity and branching pattern of venous vasculature"
b,male,bmi,BMI,age_gender_bmi_VAT,activity_self_selected_gait_speed,full model,long_seq,male,pearson_r,0.8295635521473599,0.0,10,3256,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_self_selected_gait_speed,full model,long_seq,male,pearson_r,0.8516665598945474,0.0,10,3256,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_self_selected_gait_speed,masked head,long_masked_head,male,pearson_r,0.8240459243539251,0.0,10,3256,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_self_selected_gait_speed,masked head,long_masked_head,male,pearson_r,0.8484784287816339,0.0,10,3256,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_self_selected_gait_speed,masked arms,long_masked_arms,male,pearson_r,0.7469772045974958,3.5901037913322545e-280,10,3256,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_self_selected_gait_speed,masked arms,long_masked_arms,male,pearson_r,0.7920866251900216,0.0,10,3256,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_self_selected_gait_speed,masked torso,long_masked_torso,male,pearson_r,0.8252157714520093,0.0,10,3256,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_self_selected_gait_speed,masked torso,long_masked_torso,male,pearson_r,0.8518620956925951,0.0,10,3256,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_self_selected_gait_speed,masked legs,long_masked_legs,male,pearson_r,0.8117285670072203,0.0,10,3256,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_self_selected_gait_speed,masked legs,long_masked_legs,male,pearson_r,0.8368980945958379,0.0,10,3256,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_self_selected_gait_speed,all but head,long_all_but_head,male,pearson_r,0.5210426252707365,2.1155390032382303e-107,10,3256,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_self_selected_gait_speed,all but head,long_all_but_head,male,pearson_r,0.7227966722675958,4.699176603734769e-252,10,3256,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_self_selected_gait_speed,all but arms,long_all_but_arms,male,pearson_r,0.7923618038013533,0.0,10,3256,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_self_selected_gait_speed,all but arms,long_all_but_arms,male,pearson_r,0.8337863031692475,0.0,10,3256,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_self_selected_gait_speed,all but torso,long_all_but_torso,male,pearson_r,0.6704641717863915,5.190888134368334e-206,10,3256,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_self_selected_gait_speed,all but torso,long_all_but_torso,male,pearson_r,0.7458601349632685,3.2363793425411606e-280,10,3256,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_self_selected_gait_speed,all but legs,long_all_but_legs,male,pearson_r,0.6704836071702097,1.3707637178579686e-203,10,3256,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_self_selected_gait_speed,all but legs,long_all_but_legs,male,pearson_r,0.7723112000628231,2.25228454342205e-310,10,3256,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_tm_3kmh,full model,long_seq,male,pearson_r,0.8316184402141236,0.0,10,3188,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_tm_3kmh,full model,long_seq,male,pearson_r,0.8554804580297841,0.0,10,3188,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_tm_3kmh,masked head,long_masked_head,male,pearson_r,0.832282732372418,0.0,10,3188,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_tm_3kmh,masked head,long_masked_head,male,pearson_r,0.8568824282723426,0.0,10,3188,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_tm_3kmh,masked arms,long_masked_arms,male,pearson_r,0.7500890929904255,2.0310999760309368e-280,10,3188,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_tm_3kmh,masked arms,long_masked_arms,male,pearson_r,0.7950811724257112,0.0,10,3188,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_tm_3kmh,masked torso,long_masked_torso,male,pearson_r,0.8303177683853349,0.0,10,3188,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_tm_3kmh,masked torso,long_masked_torso,male,pearson_r,0.8546444189887696,0.0,10,3188,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_tm_3kmh,masked legs,long_masked_legs,male,pearson_r,0.8103271771139289,0.0,10,3188,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_tm_3kmh,masked legs,long_masked_legs,male,pearson_r,0.8380677835191331,0.0,10,3188,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_tm_3kmh,all but head,long_all_but_head,male,pearson_r,0.5361221542307086,1.0192374917686668e-113,10,3188,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_tm_3kmh,all but head,long_all_but_head,male,pearson_r,0.7224548352152823,7.550592116001662e-249,10,3188,False,Body Mass Index (weight/height^2)
b,male,bmi,BMI,age_gender_bmi_VAT,activity_tm_3kmh,all but arms,long_all_but_arms,male,pearson_r,0.7982560226770133,0.0,10,3188,True,Body Mass Index (weight/height^2)
b,male,bmi,BMI,subject_group,activity_tm_3kmh,all but arms,long_all_but_arms,male,pearson_r,0.8372170638558772,0.0,10,3188,False,Body Mass Index (weight/height^2)
