spoke_index,system,system_display,label,label_display,pearson_r_male,pearson_r_female,score_pvalue_male,score_pvalue_fdr_male,score_pvalue_female,score_pvalue_fdr_female,n_seeds_male,n_subjects_male,n_seeds_female,n_subjects_female,description
10,bone_density,Bone Density,body_legs_area,Body Legs Area,0.6186025290910846,0.5849890337173816,4.759570753616623e-167,3.047525156065703e-165,1.4238547764008012e-154,7.764695918599462e-153,15,1582,15,1661,"Combined bone area of both legs measured via DXA imaging, representing total projected bone tissue area in both lower limbs"
11,bone_density,Bone Density,body_total_area,Total Bone Area,0.5629326914888094,0.5138740422550679,9.971915917663775e-133,4.824191322834231e-131,2.803099444800813e-113,1.1965387237904646e-111,15,1582,15,1661,"Total body scan area measured by DXA (Dual-Energy X-ray Absorptiometry), representing the total scanned tissue area in cm²"
12,bone_density,Bone Density,body_legs_bmc,Legs BMC,0.5096926959013809,0.4801132471276829,1.3297303705049882e-106,5.078636871209402e-105,2.3063557922895457e-96,8.098284773894098e-95,15,1582,15,1661,"Combined bone mineral content of both legs measured via DXA imaging, representing total mineral mass in both lower limb skeletons"
13,bone_density,Bone Density,body_total_bmc,Total BMC,0.4685193282747467,0.4320047603091234,4.252971444115497e-88,1.251178220789113e-86,1.0212520678820956e-76,2.964354335705763e-75,15,1582,15,1661,"Total Body Bone Mineral Content measured by DXA, representing the total mineral content of bones in grams"
14,bone_density,Bone Density,body_arms_bmc,Arms BMC,0.4280734175841855,0.3673619527958622,1.1148855207325109e-71,2.59583505736329e-70,6.963699235809377e-53,1.3719432793083272e-51,15,1582,15,1661,"Combined bone mineral content of both arms measured by DXA scan, representing total bilateral arm bone mass in grams"
15,frailty,Frailty,frailty_body_comp_leg_left_lean_mass,L Leg Lean Mass,0.5866167862082116,0.5440860788375943,9.657805775582257e-148,5.12805931059575e-146,6.342437807533899e-128,2.817854511632918e-126,15,1581,15,1659,"Lean muscle mass (fat-free mass excluding bone) in the left leg, typically measured in kilograms using bioelectrical impedance analysis (BIA) or DEXA. Used to assess muscular symmetry and overall lower body muscle mass in frailty evaluation."
16,frailty,Frailty,frailty_body_comp_leg_right_lean_mass,R Leg Lean Mass,0.5781338352402218,0.5527404887604886,4.950809898181472e-143,2.4495257155320601e-141,1.661069117633701e-132,7.947576855139709e-131,15,1581,15,1659,"Lean muscle mass (fat-free mass excluding bone) in the right leg, typically measured in kilograms using bioelectrical impedance analysis (BIA) or DEXA. A key body composition marker used to assess muscle loss and sarcopenia, which are core features of the frailty syndrome."
17,frailty,Frailty,hand_grip_left,L Hand Grip Strength,0.3839035894326271,0.2888377432940471,8.155205012209332e-57,1.674894463356577e-55,7.714002601804819e-34,9.763595153563425e-33,15,1606,15,1721,"Maximal left hand grip strength measured in kilograms using a hand dynamometer, indicating muscular strength and overall physical function"
18,frailty,Frailty,hand_grip_right,R Hand Grip Strength,0.3650712962542745,0.2888118853722658,2.280138044209025e-52,4.412320464216042e-51,8.130236177736894e-34,1.0260593715323604e-32,15,1607,15,1721,"Maximal right hand grip strength measured in kilograms using a hand dynamometer, indicating muscular strength and overall physical function"
19,sleep_group,Sleep,ahi,AHI,0.4196164272756681,0.4217839712420654,2.5915093736948472e-64,5.816201965498642e-63,7.000934136605631e-66,1.6840921121978408e-64,15,1491,15,1535,"Apnea-Hypopnea Index; the number of apnea and hypopnea events per hour of sleep, a key diagnostic measure for sleep apnea severity"
20,sleep_group,Sleep,hypoxic_burden,Hypoxic Burden,0.4164835685244658,0.4212455399766094,3.8675407876823627e-63,8.547854106380207e-62,1.1250711134299037e-65,2.691516279051539e-64,15,1491,15,1535,"Cumulative measure of hypoxemia severity - quantifies the total oxygen desaturation burden during sleep, typically calculated as area under the curve of low oxygen saturation episodes"
21,sleep_group,Sleep,odi,ODI,0.4054263073424407,0.3761976236074713,2.1362500506356e-58,4.515161514790001e-57,3.016725061690178e-50,5.6860696617311845e-49,15,1491,15,1535,Overall Oxygen Desaturation Index - measures the total number of oxygen desaturation events per hour across entire sleep study
22,sleep_group,Sleep,saturation_mean,Mean O2 Saturation,0.3523429693333054,0.4091912159116474,1.0127599479818513e-44,1.722483130278508e-43,3.7937426911759056e-61,8.470746501220458e-60,15,1491,15,1535,"Mean oxygen saturation level (SpO2) across the entire sleep recording, measured as a percentage. Average oxygenation status during sleep and indicator of overall sleep-related hypoxemia burden."
23,sleep_group,Sleep,rdi,RDI,0.3473385134639502,0.3437035526814285,1.0871519820786032e-42,1.779496139086556e-41,5.060296471607269e-42,7.650184318534044e-41,15,1491,15,1535,Respiratory Disturbance Index - total number of apneic and hypopneic events per hour of sleep (similar to AHI)
24,nightingale,Nightingale,L_HDL_CE,Large HDL-CE,0.3721695004886766,0.3668641347093844,3.6963657614753915e-27,4.546321052390919e-26,3.742306844207621e-27,4.265446073214655e-26,15,809,15,812,Large HDL Cholesteryl Ester - cholesteryl ester content in large HDL particles
25,nightingale,Nightingale,L_HDL_C,Large HDL-C,0.3649400290217879,0.359555856433464,3.961500589471569e-26,4.804560882049919e-25,5.587010237765818e-26,6.189781825758873e-25,15,809,15,812,Large HDL Cholesterol - cholesterol content in large high-density lipoprotein particles (protective 'good' cholesterol subclass)
26,nightingale,Nightingale,HDL_size,HDL Size,0.3582322336074046,0.382391308707782,2.39514682853035e-25,2.880792621939543e-24,2.3479413443524237e-29,2.793152080139468e-28,15,809,15,812,HDL particle size; the average diameter or size classification of HDL particles in nanometers
27,nightingale,Nightingale,VLDL_size,VLDL Size,0.3434494872413793,0.3807068310626042,1.0259905219432448e-23,1.19763075939434e-22,1.9829945813544974e-27,2.2720943176888112e-26,15,809,15,812,"Particle size of very-low-density lipoprotein (VLDL) measured in nanometers. VLDL is a lipoprotein produced by the liver that carries triglycerides and cholesterol in the bloodstream. Larger VLDL particles are generally considered less atherogenic than smaller, denser particles."
28,nightingale,Nightingale,L_VLDL_TG,L VLDL TG,0.3431193211998962,0.3774139947154781,7.964389420626257e-24,9.346887206848174e-23,2.4043721372001667e-28,2.78421177802381e-27,15,809,15,812,Very Low-Density Lipoprotein triglyceride content - measures the triglyceride concentration within VLDL particles
29,cardiovascular_system,Cardiovascular,r_mv_I,R (m)v I,0.3402617774129945,0.4876304442794906,4.108773014488739e-44,6.933952598869756e-43,3.649726549123346e-104,1.4316134589984729e-102,15,1606,15,1718,R-wave voltage (in millivolts) measured from electrocardiogram lead I. ECG parameter reflecting left ventricular electrical activity.
30,cardiovascular_system,Cardiovascular,sitting_blood_pressure_systolic,Sitting BP Systolic,0.3228923707917527,0.3718876689848486,8.842244302567991e-40,1.3749689890493226e-38,2.197681453051829e-51,4.252757798483406e-50,15,1606,15,1718,Systolic blood pressure in mmHg measured while patient is in sitting position
31,cardiovascular_system,Cardiovascular,l_ankle_pressure,Ankle Pressure,0.3185559224518394,0.3966193772469055,6.476544630247175e-39,9.929181450738098e-38,9.172428357709711e-65,2.158743409160437e-63,15,1599,15,1709,Left ankle systolic blood pressure measurement in mmHg
32,cardiovascular_system,Cardiovascular,lying_blood_pressure_systolic,Lying BP Systolic,0.2659040102654367,0.2943558574169929,2.0235389768720957e-22,2.264907122185374e-21,6.726590476360985e-29,7.91556079299344e-28,15,1345,15,1404,"Systolic blood pressure in mmHg measured in lying/supine position, indicates pressure in arteries when heart contracts"
33,cardiovascular_system,Cardiovascular,standing_three_min_blood_pressure_systolic,Standing BP Systolic,0.2273821669236889,0.2650633339725665,4.38489118629888e-17,4.261566121684224e-16,1.4890916761240052e-23,1.5585348937124804e-22,15,1345,15,1400,Systolic blood pressure in mmHg measured after standing for 3 minutes
34,blood_tests_lipids,Lipids,bt__triglycerides,BT Triglycerides,0.3752056851691049,0.3634008028144336,6.044053419844096e-42,9.710630476015201e-41,7.49554715138741e-39,1.0393507101000248e-37,15,1227,15,1248,"Triglyceride blood concentration; measures fatty acids in blood (mg/dL), a key lipid panel component indicating metabolic health"
35,blood_tests_lipids,Lipids,bt__hdl_cholesterol,BT HDL Cholesterol,0.3313721845533223,0.2628841116153019,1.877846833449615e-32,2.515736957796807e-31,1.7008550730217516e-20,1.7024190776865992e-19,15,1213,15,1237,HDL cholesterol blood concentration ('good' cholesterol) in mg/dL; protective factor for cardiovascular health
36,blood_tests_lipids,Lipids,bt__non_hdl_cholesterol,BT Non-HDL Cholesterol,0.1710434099271242,0.2435895424088406,2.2711543414424682e-08,1.7753332141185826e-07,3.308124790788662e-16,3.0908959955136985e-15,15,1167,15,1190,"Non-HDL cholesterol blood concentration; measures total 'bad' cholesterol (LDL, VLDL, IDL) in mg/dL; indicator of cardiovascular risk"
37,blood_tests_lipids,Lipids,bt__total_cholesterol,BT Total Cholesterol,0.0939392229648775,0.1748843147570796,0.0023204000269322,0.011493767596430945,3.656376782873016e-09,2.889267606647752e-08,15,1222,15,1248,"Total cholesterol blood concentration; sum of all cholesterol types (HDL, LDL, VLDL) in mg/dL; key cardiovascular health marker"
38,metabolites,Metabolites,5.37_291.1602m_z,5.37 291.1602m Z,0.248361906165301,0.2090730654402258,4.2811703629828425e-15,4.000046300520879e-14,4.071573147610991e-10,3.3197808023779504e-09,15,1048,15,1041,
39,metabolites,Metabolites,Cholic acid glucuronide.1,Cholic Acid Glucuronide.1,0.2480857341729704,0.2105825381162956,4.82242354245894e-16,4.584461158049394e-15,2.6551876322816765e-11,2.2308912860658216e-10,15,1048,15,1041,Annotated metabolite (original: 3.35_583.3120m_z)
40,metabolites,Metabolites,12a-Hydroxy-3-oxocholadienic acid_Bufalin,12a-OH-Oxocholadienic Acid,0.2303846845697726,0.2667617360030571,1.2648245263438666e-13,1.137819418946528e-12,2.985414377381837e-17,2.83809917011365e-16,15,1048,15,1041,Annotated metabolite (original: 3.85_385.2388m_z)
41,metabolites,Metabolites,4.94_457.3173m_z,4.94 457.3173m Z,0.1945072420114061,0.2218581531269366,9.454666714071063e-10,7.637406098898963e-09,1.006797267843108e-11,8.595284910174298e-11,15,1048,15,1041,
42,metabolites,Metabolites,2.72_443.1746m_z,2.72 443.1746m Z,0.1908622545852591,0.2204273611720962,1.7373552047132693e-09,1.3854294068354534e-08,6.999631903955995e-13,6.119758495948675e-12,15,1048,15,1041,
43,liver,Liver,liver_sound_speed,Liver Sound Speed,0.533319095885848,0.6073525531990995,1.3578740984057012e-119,5.474244281905947e-118,2.0353301409323764e-173,1.1815769911492756e-171,15,1597,15,1706,Measures the speed of sound propagation through liver tissue; a physical property used in ultrasound elastography and tissue characterization to assess liver stiffness and fibrosis.
44,liver,Liver,liver_attenuation,Liver Attenuation,0.3604340905450097,0.245568059630952,3.46887964435924e-50,6.538312541792265e-49,3.670775007389115e-23,3.832746854237939e-22,15,1597,15,1706,"Measures the attenuation coefficient of ultrasound or imaging waves passing through liver tissue; indicates liver density and composition, useful for detecting fatty liver disease and other structural abnormalities."
45,liver,Liver,liver_viscosity,Liver Viscosity,0.2091981194736106,0.2386433635238368,1.8589764199579492e-16,1.7907042771010866e-15,1.2399036173103065e-21,1.2554744999462964e-20,15,1598,15,1706,"Measures the viscosity (thickness/resistance to flow) of liver tissue, typically obtained through ultrasound or imaging techniques to assess liver tissue properties and potential fibrosis or disease state."
46,liver,Liver,liver_elasticity,Liver Elasticity,0.1613806473485314,0.1671877116583091,3.7270221496533313e-10,3.0560177852336354e-09,2.0164746691943547e-11,1.704802079548004e-10,15,1598,15,1706,"Measures the stiffness and elasticity of liver tissue using elastography techniques; a key biomarker for assessing liver fibrosis and disease progression, particularly in hepatitis and cirrhosis."
47,liver,Liver,bt__platelets,BT Platelets,0.0721182227562061,0.1177447075680924,0.0057242713008232,0.026096751921179696,5.7962124203821646e-06,3.937084068384391e-05,15,1603,15,1708,Platelet Count - the number of thrombocytes (platelets) in blood; low platelet counts (thrombocytopenia) are associated with advanced liver disease and portal hypertension due to splenic sequestration.
48,immune_system,Immune,bt__wbc,BT WBC Count,0.2387557432096961,0.1927590111823865,1.2499279097929951e-20,1.3145377099610387e-19,1.3645446430243455e-14,1.240339744410856e-13,15,1601,15,1705,"Total white blood cell (WBC) count (typically measured in thousands per microliter, K/µL). Represents total concentration of all leukocytes in circulation."
49,immune_system,Immune,bt__lymphocytes_abs,BT Lymphocytes,0.2117086092384932,0.1817996001279039,1.6904300882123955e-16,1.63195844879751e-15,1.3734934937919097e-13,1.2179614403197505e-12,15,1601,15,1705,"Absolute count of lymphocytes in blood (typically measured in thousands per microliter, K/µL). Represents total number of lymphocytes independent of other WBC types."
50,immune_system,Immune,bt__neutrophils_abs,BT Neutrophils,0.1837082418936265,0.1356889345010916,2.9992196295671727e-12,2.63278271514828e-11,1.4480601007621085e-07,1.0889211880342348e-06,15,1602,15,1705,"Absolute count of neutrophils in blood (typically measured in thousands per microliter, K/µL). Indicates total neutrophil concentration independent of other WBC populations."
51,immune_system,Immune,bt__monocytes_abs,BT Monocytes,0.1783575331788901,0.0914699481721415,1.1265892512733076e-11,9.829999198484933e-11,0.0003191379724074,0.001788322692228854,15,1602,15,1705,"Absolute count of monocytes in blood (typically measured in thousands per microliter, K/µL). Represents total monocyte concentration in circulation."
52,high_level_diet_with_stage,High Level Diet,Foods_per_day,Foods Per Day,0.1931543391281266,0.065305092065719,3.454811697523193e-13,3.0824283055360622e-12,0.0091070165525379,0.035658228479991026,15,1563,15,1693,"Count of distinct food items consumed per day, a dietary diversity metric"
53,high_level_diet_with_stage,High Level Diet,copper_mg,Copper (m)g,0.1889334799584683,0.1588416812380746,2.175070685193632e-11,1.8679009395134265e-10,2.1617089791450683e-09,1.7238243397797853e-08,15,1563,15,1693,Mean daily copper intake in milligrams
54,high_level_diet_with_stage,High Level Diet,totaldietaryfiber_g,Totaldietaryfiber G,0.1867801013752489,0.1473238050030531,1.9088295249012584e-11,1.6457512379049662e-10,7.368568249954551e-09,5.7702780863852725e-08,15,1563,15,1693,Mean daily dietary fiber intake in grams
55,high_level_diet_with_stage,High Level Diet,folate_mcg,Folate (m)cg,0.1721239584499275,0.0877966516805003,8.577919510607438e-11,7.196196830286086e-10,0.0007284790759823,0.003835305800274406,15,1563,15,1693,Mean daily folate (vitamin B9) intake in micrograms
56,high_level_diet_with_stage,High Level Diet,magnesium_mg,Magnesium (m)g,0.1473284694805361,0.1466408041477707,2.0784559371303202e-07,1.5765848693842185e-06,1.5680980924676937e-07,1.1771550163110928e-06,15,1563,15,1693,Mean daily magnesium intake in milligrams
57,lifestyle,Lifestyle,vigorous_activity_minutes,Vigorous Activity,0.1973845259153983,0.2259165648571374,1.7406941721989643e-11,1.5097574553295402e-10,2.8293873104642823e-16,2.6549897305520443e-15,15,1289,15,1387,"Total minutes per week of vigorous-intensity physical activity, a cardiovascular fitness and lifestyle measure"
58,lifestyle,Lifestyle,work_hours_per_day,Work Hours Per Day,0.1623535728853713,0.1643957299811281,3.6157158875701394e-08,2.8112191025857837e-07,5.168751514151794e-09,4.0549088455165605e-08,15,1242,15,1460,"Average daily hours spent working, measuring occupational time commitment on a daily basis"
59,lifestyle,Lifestyle,hours_watching_tv,Hours Watching Tv,0.1564377318487214,0.1057286450915915,3.0548701047965793e-08,2.3836746301584777e-07,8.843835489830873e-05,0.0005415760861142563,15,1383,15,1523,"Hours spent watching television per week, measuring sedentary screen-based leisure time"
60,lifestyle,Lifestyle,moderate_activity_days,Moderate Activity Days,0.1491839537718631,0.2016775455004616,4.5885896859384573e-07,3.4268815596185326e-06,6.04256495257164e-14,5.44706579782545e-13,15,1380,15,1499,Number of days per week on which the participant engages in moderate-intensity physical activity
61,lifestyle,Lifestyle,walking_days_per_week,Walking Days Per Week,0.114807624343945,0.1204884681387812,0.0001106793690887,0.0006894105479430612,1.7575888096044496e-05,0.0001150758146919966,15,1388,15,1537,Number of days per week on which the participant engages in at least 10 minutes of walking activity
62,hematopoietic,Hematopoietic,bt__mchc,BT MCHC,0.2371215470903405,0.2221818131912084,2.9417525184758836e-21,3.154775976710344e-20,7.1877929148510695e-19,6.954588966947012e-18,15,1601,15,1705,Mean Corpuscular Hemoglobin Concentration - measures the average concentration of hemoglobin within red blood cells (g/dL). Calculated from hemoglobin divided by hematocrit.
63,hematopoietic,Hematopoietic,bt__rbc,BT RBC Count,0.1687726218267916,0.2067365559261765,1.7600712056800567e-11,1.523528832908741e-10,4.19190111440231e-17,3.9677255330668824e-16,15,1601,15,1705,Red Blood Cell Count - measures the number of red blood cells per microliter of blood (typically in millions/μL). Assesses oxygen-carrying capacity and diagnoses anemia or erythrocytosis.
64,hematopoietic,Hematopoietic,bt__hct,BT Hematocrit,0.1516638459317317,0.1320621481785937,1.2338195518618022e-09,9.929852733468184e-09,6.582774996289514e-08,4.975937905181344e-07,15,1602,15,1705,Hematocrit - measures the percentage of blood volume occupied by red blood cells (%). Indicates the proportion of blood composed of RBCs.
65,hematopoietic,Hematopoietic,bt__hemoglobin,BT Hemoglobin,0.1357275196226286,0.1016752992633177,7.231393791594305e-08,5.572652844000285e-07,2.881238255765423e-05,0.00018421308906905508,15,1602,15,1705,Hemoglobin concentration in blood (typically measured in g/dL) - measures the oxygen-carrying protein in red blood cells. Essential for diagnosing anemia and assessing overall blood health.
66,hematopoietic,Hematopoietic,bt__mcv,BT (m)cv,0.1207557378382581,0.1755710091655386,3.550666639922825e-06,2.4735364080358367e-05,1.3268627821483816e-12,1.1554321106948107e-11,15,1596,15,1702,Mean Corpuscular Volume - measures the average size of red blood cells in femtoliters (fL). Used to classify types of anemia and assess red blood cell morphology.
67,mental,Mental,health_satisfaction,Health Satisfaction,0.1952658716508753,0.2653128955183334,2.0675171847632758e-13,1.848453762311972e-12,1.663234588542541e-26,1.8664235563180987e-25,15,1483,15,1621,Subjective rating of satisfaction with overall health status and health condition
68,mental,Mental,little_interest_or_pleasure_fortnight,Little Interest Or Pleasure Fortnight,0.0755829581816866,0.0615569848127091,0.0103700770267037,0.04324838637381984,0.0247793256749657,0.08235815571664172,15,1473,15,1614,"Assessment of anhedonia (loss of interest or pleasure) over a two-week period, a cardinal symptom of Major Depressive Disorder"
69,glycemic_status,Glycemic,iglu_sdw,IGLU SDW,0.1339029785953055,0.0747704894516631,2.7895091947250626e-06,1.9471340389378678e-05,0.0101450685003465,0.03915924490293322,15,1240,15,1329,Standard deviation within days - glucose variability during daytime periods
70,glycemic_status,Glycemic,iglu_iqr,IGLU IQR,0.129891050967971,0.0866938377274094,2.0207058387540637e-05,0.00013473435255643483,0.0027117873624136,0.01252237311638369,15,1240,15,1329,Interquartile Range (IQR) of glucose values - measure of glucose variability representing the spread of the middle 50% of glucose readings
71,glycemic_status,Glycemic,bt__glucose,BT Glucose,0.1270469859103731,0.1321160211340627,9.83882393310146e-06,6.672622960237345e-05,1.6425169578492595e-06,1.1609608497525447e-05,15,1320,15,1401,"Blood glucose concentration measured at a specific time point, typically in mg/dL or mmol/L, used to assess current glycemic status and screen for diabetes or hyperglycemia"
72,microbiome,Microbiome,Rep_2101,Rep 2101,0.1337540290338481,0.0922179927759212,6.112267211937288e-07,4.5491985368846075e-06,0.0003486816722741,0.001936428572807948,15,1575,15,1677,Microbiome species prevalence
73,microbiome,Microbiome,Rep_2102,Rep 2102,0.1306421803842111,0.06418688738065,1.1574367524059175e-06,8.427223444774857e-06,0.0297715615589479,0.09608997704051828,15,1575,15,1677,Microbiome species prevalence
74,microbiome,Microbiome,Rep_3128,Rep 3128,0.1130056316723945,0.1211665801958647,1.128586501600191e-05,7.618396322429817e-05,9.94824069473422e-06,6.674058549287025e-05,15,1575,15,1677,Microbiome species prevalence
75,microbiome,Microbiome,Rep_3240,Rep 3240,0.1106697738116656,0.0591705060377007,2.3174836539386416e-05,0.00015334838646274842,0.0250473883501193,0.08318560555028179,15,1575,15,1677,Microbiome species prevalence
76,microbiome,Microbiome,Rep_2166,Rep 2166,0.1100588044047178,0.1157442509752182,3.19964079644011e-05,0.00020886410836132296,4.592906815003218e-06,3.1527250964054644e-05,15,1575,15,1677,Microbiome species prevalence
